Season;Team;Position
Season 1;Man City;1
Season 1;Man United;2
Season 1;Liverpool;3
Season 1;Chelsea;4
Season 1;Leicester;5
Season 1;West Ham;6
Season 1;Tottenham;7
Season 1;Arsenal;8
Season 1;Leeds;9
Season 1;Everton;10
Season 1;Aston Villa;11
Season 1;Newcastle;12
Season 1;Wolves;13
Season 1;Crystal Palace;14
Season 1;Southampton;15
Season 1;Brighton;16
Season 1;Burnley;17
Season 1;Fulham;18
Season 1;West Brom;19
Season 1;Sheffield United;20
Season 2;Man City;1
Season 2;Liverpool;2
Season 2;Chelsea;3
Season 2;Tottenham;4
Season 2;Arsenal;5
Season 2;Man United;6
Season 2;West Ham;7
Season 2;Leicester;8
Season 2;Brighton;9
Season 2;Wolves;10
Season 2;Newcastle;11
Season 2;Crystal Palace;12
Season 2;Brentford;13
Season 2;Aston Villa;14
Season 2;Southampton;15
Season 2;Everton;16
Season 2;Leeds;17
Season 2;Burnley;18
Season 2;Watford;19
Season 2;Norwich;20
Season 3;Man City;1
Season 3;Arsenal;2
Season 3;Man United;3
Season 3;Newcastle;4
Season 3;Liverpool;5
Season 3;Brighton;6
Season 3;Aston Villa;7
Season 3;Tottenham;8
Season 3;Brentford;9
Season 3;Fulham;10
Season 3;Crystal Palace;11
Season 3;Chelsea;12
Season 3;Wolves;13
Season 3;West Ham;14
Season 3;Bournemouth;15
Season 3;Nott'm Forest;16
Season 3;Everton;17
Season 3;Leicester;18
Season 3;Leeds;19
Season 3;Southampton;20
Season 4;Man City;1
Season 4;Arsenal;2
Season 4;Liverpool;3
Season 4;Aston Villa;4
Season 4;Tottenham;5
Season 4;Chelsea;6
Season 4;Newcastle;7
Season 4;Man United;8
Season 4;West Ham;9
Season 4;Crystal Palace;10
Season 4;Brighton;11
Season 4;Bournemouth;12
Season 4;Fulham;13
Season 4;Wolves;14
Season 4;Everton;15
Season 4;Brentford;16
Season 4;Nott'm Forest;17
Season 4;Luton;18
Season 4;Burnley;19
Season 4;Sheffield United;20
Season 5;Liverpool;1
Season 5;Arsenal;2
Season 5;Man City;3
Season 5;Chelsea;4
Season 5;Newcastle;5
Season 5;Aston Villa;6
Season 5;Nott'm Forest;7
Season 5;Brighton;8
Season 5;Bournemouth;9
Season 5;Brentford;10
Season 5;Fulham;11
Season 5;Crystal Palace;12
Season 5;Everton;13
Season 5;West Ham;14
Season 5;Man United;15
Season 5;Wolves;16
Season 5;Tottenham;17
Season 5;Leicester;18
Season 5;Ipswich;19
Season 5;Southampton;20
